Byzantine nodes,SMR protocol,Latency(ms)
0,Reputation-based-SMR-p0,4000
4,Reputation-based-SMR-p0,4157
8,Reputation-based-SMR-p0,4745
16,Reputation-based-SMR-p0,5362
32,Reputation-based-SMR-p0,5860
64,Reputation-based-SMR-p0,6320


0,Sync-Hotstuff-p0,3000
4,Sync-Hotstuff-p0,3036
8,Sync-Hotstuff-p0,3163
16,Sync-Hotstuff-p0,3624
32,Sync-Hotstuff-p0,4220
64,Sync-Hotstuff-p0,4664

0,Reputation-based-SMR-p1024,4025
4,Reputation-based-SMR-p1024,4470
8,Reputation-based-SMR-p1024,5650
16,Reputation-based-SMR-p1024,6860
32,Reputation-based-SMR-p1024,7916
64,Reputation-based-SMR-p1024,8580

0,Sync-Hotstuff-p1024,3022
4,Sync-Hotstuff-p1024,3600
8,Sync-Hotstuff-p1024,4280
16,Sync-Hotstuff-p1024,4790
32,Sync-Hotstuff-p1024,5670
64,Sync-Hotstuff-p1024,6450



