Byzantine nodes,Misbehaviour,Throughput(Ops/s)
0,Equivocating block,365.68
4,Equivocating block,172.66
8,Equivocating block,151.93
16,Equivocating block,119.81
32,Equivocating block,73.76
64,Equivocating block,49.23

0,Withholding block,365.68
4,Withholding block,176.76
8,Withholding block,154.65
16,Withholding block,122.32
32,Withholding block,78.72
64,Withholding block,51.75

0,Malicious block,365.68
4,Malicious block,345.56
8,Malicious block,304.76
16,Malicious block,206.21
32,Malicious block,136.73
64,Malicious block,69.4

0,Malicious vote,365.68
4,Malicious vote,348.63
8,Malicious vote,312.83
16,Malicious vote,214.22
32,Malicious vote,142.66
64,Malicious vote,72.44

0,Normal-case,365.68
4,Normal-case,177.36
8,Normal-case,154.95
16,Normal-case,123.12
32,Normal-case,77.72
64,Normal-case,50.95



