吞吐量/tps,区块大小,共识时延/ms
41.8,区块大小:400,1000
64.5,区块大小:400,1001
92.1,区块大小:400,1002
199.4,区块大小:400,1003
359.8,区块大小:400,1004
370.5,区块大小:400,1045
360.1,区块大小:400,1100
346.6,区块大小:400,1250
344.0,区块大小:400,1400

56.7,区块大小:800,1000
100.2,区块大小:800,1001
132.2,区块大小:800,1002
208.4,区块大小:800,1003
328.1,区块大小:800,1004
702.6,区块大小:800,1005
728.4,区块大小:800,1035
720.3,区块大小:800,1140
712.8,区块大小:800,1300
694.2,区块大小:800,1420

48.72,区块大小:1600,1000
82.13,区块大小:1600,1001
106.51,区块大小:1600,1002
212.58,区块大小:1600,1004
290.27,区块大小:1600,1005
725.33,区块大小:1600,1006
730.71,区块大小:1600,1040
732.32,区块大小:1600,1150
729.32,区块大小:1600,1200
724.49,区块大小:1600,1400

























