Throughput(Ops/s),BlockSize,Latency(ms)
11.8,Reputation-based-SMR-b400,4000
16.5,Reputation-based-SMR-b400,4001
23.1,Reputation-based-SMR-b400,4002
49.4,Reputation-based-SMR-b400,4003
89.8,Reputation-based-SMR-b400,4004
92.5,Reputation-based-SMR-b400,4045
89.8,Reputation-based-SMR-b400,4100
86.6,Reputation-based-SMR-b400,4250
86.0,Reputation-based-SMR-b400,4400

14.7,Reputation-based-SMR-b800,4000
25.2,Reputation-based-SMR-b800,4001
33.2,Reputation-based-SMR-b800,4002
52.4,Reputation-based-SMR-b800,4003
82.1,Reputation-based-SMR-b800,4004
175.6,Reputation-based-SMR-b800,4005
182.4,Reputation-based-SMR-b800,4035
180.3,Reputation-based-SMR-b800,4140
178.8,Reputation-based-SMR-b800,4300
171,Reputation-based-SMR-b800,4400

12.72,Reputation-based-SMR-b1600,4000
82.13,Reputation-based-SMR-b1600,4001
106.51,Reputation-based-SMR-b1600,4002
302.58,Reputation-based-SMR-b1600,4004
360.27,Reputation-based-SMR-b1600,4005
365.33,Reputation-based-SMR-b1600,4006
365.71,Reputation-based-SMR-b1600,4040
359.32,Reputation-based-SMR-b1600,4150
359.32,Reputation-based-SMR-b1600,4200
340.49,Reputation-based-SMR-b1600,4400

11.72,Reputation-based-SMR-b2000,4000
90.1,Reputation-based-SMR-b2000,4001
106.5,Reputation-based-SMR-b2000,4002
278.5,Reputation-based-SMR-b2000,4004
356.2,Reputation-based-SMR-b2000,4005
362.3,Reputation-based-SMR-b2000,4006
366.7,Reputation-based-SMR-b2000,4040
360.32,Reputation-based-SMR-b2000,4150
340.49,Reputation-based-SMR-b2000,4400

8.25,Sync-Hotstuff-b400,3000
11.78,Sync-Hotstuff-b400,3001
23.1,Sync-Hotstuff-b400,3002
49.2,Sync-Hotstuff-b400,3002.5
172.9,Sync-Hotstuff-b400,3003
323.3,Sync-Hotstuff-b400,3004
363.35,Sync-Hotstuff-b400,3004.5
363.35,Sync-Hotstuff-b400,3050
344.20,Sync-Hotstuff-b400,3350
323.35,Sync-Hotstuff-b400,3500

8.47,Sync-Hotstuff-b800,2998
23,Sync-Hotstuff-b800,2999
49.18,Sync-Hotstuff-b800,3002
176.08,Sync-Hotstuff-b800,3002.5
349.85,Sync-Hotstuff-b800,3003
490.01,Sync-Hotstuff-b800,3004
490.01,Sync-Hotstuff-b800,3050
463.35,Sync-Hotstuff-b800,3150
463.35,Sync-Hotstuff-b800,3350
436.60,Sync-Hotstuff-b800,3500

11.78,Sync-Hotstuff-b1600,2999
26.32,Sync-Hotstuff-b1600,3000
49.38,Sync-Hotstuff-b1600,3001
176.00,Sync-Hotstuff-b1600,3002.5
365.85,Sync-Hotstuff-b1600,3003
490,Sync-Hotstuff-b1600,3003.5
491.7,Sync-Hotstuff-b1600,3004
463.35,Sync-Hotstuff-b1600,3150
451.02,Sync-Hotstuff-b1600,3350
436.68,Sync-Hotstuff-b1600,3500





















