Byzantine nodes,SMR protocol,Throughput(Ops/s)
0,Reputation-based-SMR-p0,365.68
4,Reputation-based-SMR-p0,327.76
8,Reputation-based-SMR-p0,278.65
16,Reputation-based-SMR-p0,178.32
32,Reputation-based-SMR-p0,90.72
64,Reputation-based-SMR-p0,54.75


0,Sync-Hotstuff-p0,490.01
4,Sync-Hotstuff-p0,436.60
8,Sync-Hotstuff-p0,363.35
16,Sync-Hotstuff-p0,224.23
32,Sync-Hotstuff-p0,120.35
64,Sync-Hotstuff-p0,64.83

0,Reputation-based-SMR-p1024,85.34
4,Reputation-based-SMR-p1024,70.61
8,Reputation-based-SMR-p1024,62.43
16,Reputation-based-SMR-p1024,44.81
32,Reputation-based-SMR-p1024,23.16
64,Reputation-based-SMR-p1024,8.78

0,Sync-Hotstuff-p1024,119.45
4,Sync-Hotstuff-p1024,99.01
8,Sync-Hotstuff-p1024,83.24
16,Sync-Hotstuff-p1024,52.71
32,Sync-Hotstuff-p1024,26.73
64,Sync-Hotstuff-p1024,11.81
