Byzantine nodes,Misbehaviour,Latency(ms)
0,Equivocating block,4000
4,Equivocating block,4180
8,Equivocating block,4780
16,Equivocating block,5395
32,Equivocating block,5880
64,Equivocating block,6425

0,Withholding block,4000
4,Withholding block,4148
8,Withholding block,4745
16,Withholding block,5360
32,Withholding block,5855
64,Withholding block,6308

0,Malicious block,4000
4,Malicious block,4150
8,Malicious block,4745
16,Malicious block,5358
32,Malicious block,5846
64,Malicious block,6300

0,Malicious vote,4000
4,Malicious vote,4150
8,Malicious vote,4735
16,Malicious vote,5360
32,Malicious vote,5850
64,Malicious vote,6305

0,Normal-case,4000
4,Normal-case,4157
8,Normal-case,4745
16,Normal-case,5362
32,Normal-case,5860
64,Normal-case,6320




